CjSA1,NC_009715.2,69.455,275,78,2,19,290,4588,4859,1.53E-26,114
CjSA3,NC_009715.2,100,17,0,0,39,55,177230,177214,0.045,31.9
CjSA5,NC_009715.2,97.674,43,1,0,8,50,828389,828431,1.65E-14,74.3
CjSA5,NC_009715.2,97.674,43,1,0,8,50,1349121,1349079,1.65E-14,74.3
CjSA5,NC_009715.2,97.674,43,1,0,8,50,1790556,1790514,1.65E-14,74.3
CjSA7,NC_009715.2,97.26,73,1,1,39,111,831277,831348,2.23E-28,120
CjSA7,NC_009715.2,97.26,73,1,1,39,111,1346233,1346162,2.23E-28,120
CjSA7,NC_009715.2,97.26,73,1,1,39,111,1787668,1787597,2.23E-28,120
CjSA7,NC_009715.2,88.462,26,3,0,118,143,1076852,1076827,0.025,34.6
CjSA9,NC_009715.2,89.216,102,11,0,6,107,6837,6736,8.92E-33,135
CjSA11,NC_009715.2,92,25,2,0,316,340,597665,597689,0.004,37.4
CjSA12,NC_009715.2,82.051,39,6,1,214,252,143554,143591,0.01,36.5
CjSA12,NC_009715.2,95.455,22,1,0,56,77,296719,296740,0.01,36.5
CjSA12,NC_009715.2,100,19,0,0,214,232,1856789,1856771,0.01,35.6
CjSA12,NC_009715.2,100,18,0,0,216,233,1286118,1286135,0.034,33.7
CjSA14,NC_009715.2,90.909,22,2,0,51,72,790926,790947,0.04,31.9
CjSA16,NC_009715.2,81.967,61,7,3,227,284,421168,421109,1.46E-07,51.8
CjSA16,NC_009715.2,82.857,35,5,1,235,269,1199514,1199547,0.039,33.7
CjSA18,NC_009715.2,88.889,27,3,0,232,258,595741,595715,0.015,36.5
CjSA18,NC_009715.2,88.889,27,3,0,237,263,762215,762189,0.015,36.5
CjSA18,NC_009715.2,91.667,24,2,0,9,32,1481758,1481781,0.015,35.6
CjSA18,NC_009715.2,91.667,24,2,0,9,32,1484837,1484814,0.015,35.6
CjSA21,NC_009715.2,76.562,128,30,0,216,343,839275,839148,4.44E-21,96.9
CjSA21,NC_009715.2,75.49,102,25,0,237,338,679071,678970,1.77E-13,72.5
CjSA23,NC_009715.2,100,17,0,0,69,85,960160,960144,0.037,31.9
CjSA25,NC_009715.2,78.351,97,21,0,29,125,1568605,1568701,3.68E-16,81.5
CjSA34,NC_009715.2,91.667,24,2,0,56,79,835746,835723,0.011,35.6
CjSA34,NC_009715.2,91.667,24,2,0,56,79,1341764,1341787,0.011,35.6
CjSA34,NC_009715.2,91.667,24,2,0,56,79,1783199,1783222,0.011,35.6
CjSA34,NC_009715.2,85.714,28,4,0,13,40,1005460,1005433,0.04,33.7
CjSA35,NC_009715.2,68.396,212,67,0,35,246,1448529,1448318,4.17E-16,81.5
CjSA35,NC_009715.2,92,25,2,0,283,307,1014470,1014446,0.004,37.4
CjSA37,NC_009715.2,81.818,88,7,3,162,247,1349159,1349079,1.07E-16,82.4
